ubigeo;Region;Province;District;Area;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
10503;AMAZONAS;LUYA;COCABAMBA;355.85;2013;2073.455191;2129.209585;2180.085994;2225.96844;2266.801266;2302.587057;2333.383332;2359.298;2380.4836;2397.130411;2409.458603;2417.709688;2422.137624;2423;2418.486178;2406.767216;2388.092174;2362.754393;2331.106384;2293.567174;2250.62179;2202.813857;2150.733116;2095;2036.24937
10504;AMAZONAS;LUYA;COLCAMAR;106.6;2832;2834.61432;2832.954807;2827.333053;2818.076619;2805.525131;2790.026379;2771.932323;2751.594908;2729.361611;2705.570734;2680.546476;2654.593929;2627.994215;2601;2569.259593;2529.020174;2481.40998;2427.558287;2368.59199;2305.627495;2239.758355;2172.040296;2103.475752;2035;1967.470591
10505;AMAZONAS;LUYA;CONILA;256.17;2108;2129.592743;2147.865629;2163.031326;2175.32599;2185.005854;2192.34378;2197.625733;2201.147084;2203.208706;2204.112828;2204.158677;2203.637996;2202.830576;2202;2197.985073;2187.823707;2172.073131;2151.311035;2126.142003;2097.198798;2065.138413;2030.633921;1994.363722;1957;1919.198072
10506;AMAZONAS;LUYA;INGUILPATA;118.04;978;970.9246826;961.6178525;950.3044382;937.2153089;922.5834677;906.6405569;889.6136725;871.7224774;853.1766071;834.1733699;814.8957589;795.5108048;776.1683091;757;737.2199591;716.1250105;693.9459011;670.9027992;647.2090158;623.0724367;598.6949569;574.2704979;549.982282;526;502.477379
10507;AMAZONAS;LUYA;LONGUITA;57.91;720;754.3592451;787.8758148;820.2538784;851.1910791;880.3827962;907.5267011;932.3274521;954.501357;973.7808293;989.9184879;1002.69079;1011.901154;1017.3826;1019;1017.890354;1015.067506;1010.235418;1003.109527;993.4319681;980.9844925;965.5985451;947.1623826;925.6253957;901;873.3615432
10508;AMAZONAS;LUYA;LONYA CHICO;83.82;1315;1313.371851;1309.155209;1302.578802;1293.881179;1283.307059;1271.10389;1257.518595;1242.794492;1227.168351;1210.867599;1194.107699;1177.089747;1159.998369;1143;1125.013309;1105.015114;1083.234591;1059.895182;1035.221573;1009.443277;982.7950084;955.5145352;927.8389099;900;872.2201343
10509;AMAZONAS;LUYA;LUYA;91.21;4041;4110.778683;4174.138201;4231.109338;4281.77378;4326.261562;4364.74778;4397.448344;4424.614612;4446.526741;4463.485725;4475.804189;4483.796214;4487.766577;4488;4483.361609;4472.481033;4455.24339;4431.539812;4401.308648;4364.564445;4321.413957;4272.060319;4216.797786;4156;4090.104892
10510;AMAZONAS;LUYA;LUYA VIEJO;73.87;337;349.66703;361.9446262;373.7376038;384.9491489;395.4819903;405.2396366;414.1276322;422.054777;428.9342599;434.6846655;439.2308286;442.5045403;444.4451328;445;444.6953246;443.9972908;442.7665809;440.8647669;438.1601067;434.5325431;429.8777375;424.1101143;417.1649989;409;399.5958104
10511;AMAZONAS;LUYA;MARIA;80.27;809;828.8532864;846.6406516;862.3744426;876.0947435;887.867236;897.7807013;905.9442063;912.4840155;917.540273;921.26351;923.8110522;925.3434215;926.020845;926;924.0683656;919.041771;911.1261932;900.5457561;887.5450255;872.3887594;855.3590912;836.7506172;816.8641523;796;774.4515302
10512;AMAZONAS;LUYA;OCALLI;177.39;2981;3078.080738;3174.668088;3269.869379;3362.713344;3452.156304;3537.090839;3616.356864;3688.754935;3753.061559;3808.046264;3852.49026;3885.206597;3905.061921;3911;3910.431596;3911.106693;3912.511584;3914.112085;3915.387268;3915.854457;3915.085131;3912.712527;3908.432554;3902;3893.222182
10513;AMAZONAS;LUYA;OCUMAL;235.86;3445;3533.164524;3615.710423;3692.310342;3762.680081;3826.580815;3883.82042;3934.253622;3977.780726;4014.344715;4043.926633;4066.53931;4082.219695;4091.020244;4093;4088.776692;4078.658443;4062.220456;4039.0524;4008.801267;3971.203213;3926.103426;3873.464776;3813.367145;3746;3671.650925
10514;AMAZONAS;LUYA;PISUQUIA;306.5;4804;4952.457873;5091.122754;5219.383561;5336.736249;5442.78717;5537.254151;5619.964984;5690.853027;5749.949769;5797.37435;5833.320271;5858.039817;5871.826994;5875;5865.967222;5842.890703;5805.74474;5754.579135;5689.572174;5611.065539;5519.579865;5415.812603;5300.621746;5175;5040.044053
10515;AMAZONAS;LUYA;PROVIDENCIA;71.22;1435;1459.677278;1481.423254;1500.330154;1516.519613;1530.139654;1541.361434;1550.375756;1557.389342;1562.620865;1566.296762;1568.646877;1569.900045;1570.279746;1570;1567.547982;1561.408828;1551.785676;1538.893723;1522.969865;1504.278005;1483.10988;1459.782003;1434.62977;1408;1380.243109
10516;AMAZONAS;LUYA;SAN CRISTOBAL;33.36;801;801.9933182;802.2582253;801.8393657;800.7833677;799.1385621;796.9546409;794.2822191;791.172259;787.6753283;783.8406815;779.7151729;775.3420379;770.759602;766;758.9564694;747.8795859;733.3536962;715.97903;696.3566024;675.0742577;652.6941529;629.7422103;606.7000793;584;562.0227296
10517;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;113.94;809;819.9538397;829.3027804;837.1354752;843.5551618;848.6776047;852.6290196;855.543979;857.5632933;858.8318647;859.4965186;859.703835;859.5980221;859.3188892;859;857.204432;852.5810746;845.3951076;835.9243873;824.4598206;811.3038788;796.7672611;781.1641579;764.806796;748;731.0364324
10518;AMAZONAS;LUYA;SAN JERONIMO;214.66;1158;1158.872227;1157.60802;1154.344491;1149.228465;1142.414302;1134.061724;1124.333611;1113.393741;1101.404464;1088.524321;1074.905635;1060.692161;1046.016872;1031;1012.222821;986.9412925;956.3072874;921.4791456;883.5842316;843.6874984;802.7665823;761.6939173;721.2260622;682;644.5357315
10519;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;88.02;690;690.3207103;689.008992;686.2073405;682.0665577;676.7429088;670.3954642;663.1836343;655.2648963;646.7927105;637.9146307;628.7706195;619.4915917;610.1982143;601;591.0869594;579.7147011;567.0778715;553.3675585;538.7732233;523.4830741;507.6830069;491.5544988;475.271954;459;442.891148
10520;AMAZONAS;LUYA;SANTA CATALINA;126.21;1514;1539.159916;1563.795284;1587.938827;1611.628415;1634.907166;1657.823411;1680.430413;1702.78573;1724.950109;1746.985835;1768.954479;1790.914065;1812.915727;1835;1857.457123;1880.435597;1903.726609;1927.100633;1950.323724;1973.170515;1995.433394;2016.927904;2037.49486;2057;2075.332108
10521;AMAZONAS;LUYA;SANTO TOMAS;84.93;4207;4211.873351;4212.275914;4208.508549;4200.88535;4189.731215;4175.379185;4158.167341;4138.435091;4116.518687;4092.745936;4067.430146;4040.86352;4013.310287;3985;3948.746422;3898.42226;3835.837124;3762.822692;3681.220966;3592.866545;3499.563468;3403.059072;3305.018068;3207;3110.442636
10522;AMAZONAS;LUYA;TINGO;102.67;1126;1146.486699;1166.304135;1185.364979;1203.580952;1220.863473;1237.124251;1252.275719;1266.231223;1278.90489;1290.211118;1300.063673;1308.374449;1315.052;1320;1324.242576;1328.736653;1333.265013;1337.600532;1341.517981;1344.803166;1347.259153;1348.709781;1349.000904;1348;1345.594854
10523;AMAZONAS;LUYA;TRITA;12.68;1260;1275.553306;1290.352199;1304.372019;1317.590148;1329.986261;1341.54244;1352.243076;1362.074475;1371.024079;1379.079269;1386.225732;1392.445442;1397.714357;1402;1406.035308;1410.430463;1414.94474;1419.327009;1423.328146;1426.710615;1429.255028;1430.763837;1431.062676;1430;1427.445771
